game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
4543,6,5,AllGrid,3,50,10,45,24,"Draw(CW,L7)",34866,1462.09,A1,0.185,1.09,0.905
9231,5,14,AllGrid,3,50,10,45,42,"Hit(CW,5,TOUCH)",4018,277.337,A1,1.86,2.025,0.1649999999999998
1825,5,7,AllGrid,3,50,10,45,40,"Freeze(CW,2)",27958,1227.18,A1,0.565,0.865,0.30000000000000004
4062,4,15,AllGrid,3,50,10,45,35,"Hit(CCW,2,WEAK)",117,8.48285,A1,-1.275,-0.475,0.7999999999999999
9882,2,11,AllGrid,3,50,10,45,7,"Draw(CCW,S4)",16268,980.482,A1,0.55,1.295,0.7449999999999999
2998,6,14,AllGrid,3,50,10,45,41,"Freeze(CCW,1)",6155,546.963,A1,2.525,2.895,0.3700000000000001
1555,2,3,AllGrid,3,50,10,45,14,"Draw(CW,L2)",40669,1534.37,A1,0.8,1.1,0.30000000000000004
4372,4,14,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",2176,122.664,A1,0.005,0.095,0.09
3732,7,7,AllGrid,3,50,10,45,37,"Hit(CCW,4,MIDDLE)",25493,936.854,A1,0.93,1.125,0.19499999999999995
3858,5,5,AllGrid,3,50,10,45,40,"Freeze(CW,0)",35178,1531.65,A1,0.885,0.885,0.0
1938,0,14,AllGrid,3,50,10,45,46,"Hit(CW,11,MIDDLE)",4425,314.713,A1,-0.08,1.43,1.51
9112,3,9,AllGrid,3,50,10,45,9,"Draw(CCW,S6)",20527,950.411,A1,-0.145,0.76,0.905
4157,3,12,AllGrid,3,50,10,45,36,"Hit(CW,3,MIDDLE)",12546,796.971,A1,-0.705,-0.705,0.0
7373,1,11,AllGrid,3,50,10,45,11,"Draw(CCW,L0)",15769,892.092,A1,0.98,1.175,0.19500000000000006
7173,4,15,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",151,14.5731,A1,1.84,2.0,0.15999999999999992
196,4,4,AllGrid,3,50,10,45,37,"Hit(CCW,3,MIDDLE)",37419,1402.52,A1,-0.585,-0.22,0.365
2630,2,14,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",2781,157.778,A1,-1.075,-1.07,0.004999999999999893
5731,2,10,AllGrid,3,50,10,45,8,"Draw(CW,S6)",14251,552.23,A1,-1.4,-0.555,0.8449999999999999
9518,4,5,AllGrid,3,50,10,45,38,"Hit(CW,0,STRONG)",35157,1409.61,A1,0.56,0.985,0.42499999999999993
8211,7,12,AllGrid,3,50,10,45,45,"Hit(CCW,5,WEAK)",10446,570.62,A1,-1.115,-0.815,0.30000000000000004
7977,6,14,AllGrid,3,50,10,46,34,"Hit(CW,1,WEAK)",6292,521.958,A1,-2.045,-1.635,0.4099999999999999
3926,6,11,AllGrid,3,50,10,46,39,"Hit(CCW,0,STRONG)",18067,1175.21,A1,-1.615,0.425,2.04
3883,1,14,AllGrid,3,50,10,46,0,"Draw(CW,TEE)",1014,53.2529,A1,-0.29,-0.075,0.21499999999999997
9222,7,5,AllGrid,3,50,10,46,24,"Draw(CW,L7)",31138,1101.59,A1,0.93,1.315,0.3849999999999999
