game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,risk_lambda,q_ref_mean,q_ref_sd,q_best,regret,q_adj,q_adj_best,regret_adj
477,2,10,ClusterValue,3,200,10,46,43,"Hit(CCW,7,TOUCH)",64598,2430.4,A9P5,0.0,-0.375,2.01603,-0.245,0.13,-1.383015,-1.152605,0.2304100000000002
8462,7,13,ClusterValue,3,200,10,46,12,"Draw(CW,L1)",18460,957.746,A9P5,0.0,2.205,1.46389,2.63,0.4249999999999998,1.473055,2.11934,0.6462849999999998
3186,1,11,ClusterValue,3,200,10,46,59,"Hit(CCW,4,STRONG)",53377,2209.23,A9P5,0.0,-0.335,2.00569,1.3,1.635,-1.337845,0.2680100000000001,1.605855
8936,4,15,ClusterValue,3,200,10,46,1,"Draw(CCW,TEE)",145,10.1884,A9P5,0.0,0.825,0.578252,1.015,0.1899999999999999,0.535874,1.0,0.464126
966,6,3,ClusterValue,3,200,10,46,20,"Draw(CW,L5)",173167,5783.97,A9P5,0.0,1.125,2.05897,1.15,0.0249999999999999,0.095515,0.1599349999999999,0.0644199999999999
232,1,13,ClusterValue,3,200,10,46,19,"Draw(CCW,L4)",8177,363.529,A9P5,0.0,1.33,0.95974,1.575,0.2449999999999998,0.85013,0.963775,0.1136449999999998
3968,6,10,ClusterValue,3,200,10,46,18,"Draw(CW,L4)",55654,1834.66,A9P5,0.0,0.585,1.82559,0.95,0.365,-0.327795,0.0573199999999999,0.385115
2440,2,5,ClusterValue,3,200,10,46,45,"Hit(CCW,2,WEAK)",146632,5104.88,A9P5,0.0,0.91,2.00297,1.17,0.2599999999999999,-0.0914849999999999,0.127035,0.2185199999999999
1624,6,15,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",91,5.58875,A9P5,0.0,1.26,0.58515,1.265,0.0049999999999998,0.967425,1.0,0.032575
9851,7,8,ClusterValue,3,200,10,46,33,"Hit(CCW,1,TOUCH)",100059,3681.22,A9P5,0.0,-0.255,1.83029,0.155,0.41,-1.170145,-0.86615,0.303995
9879,2,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",117,7.81534,A9P5,0.0,2.8,0.519615,3.125,0.3250000000000002,2.5401925,3.0,0.4598075000000001
9832,1,9,ClusterValue,3,200,10,46,66,"Hit(CW,6,MIDDLE)",89034,3420.22,A9P5,0.0,0.895,1.98846,1.24,0.345,-0.0992299999999999,0.362225,0.4614549999999999
4221,2,14,ClusterValue,3,200,10,46,20,"Draw(CW,L5)",5957,305.148,A9P5,0.0,0.685,1.36227,1.555,0.8699999999999999,0.003865,1.1719285,1.1680635
1999,2,5,ClusterValue,3,200,10,46,36,"Hit(CW,2,MIDDLE)",138751,4596.8,A9P5,0.0,0.735,1.78739,0.875,0.14,-0.158695,-0.0723099999999999,0.086385
99,4,13,ClusterValue,3,200,10,46,49,"Hit(CCW,12,WEAK)",6863,294.623,A9P5,0.0,0.635,1.17974,0.635,0.0,0.04513,0.04513,0.0
964,0,8,ClusterValue,3,200,10,46,44,"Hit(CW,5,WEAK)",91233,3074.12,A9P5,0.0,-0.38,1.82088,-0.295,0.085,-1.29044,-1.175055,0.115385
6357,7,5,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",149457,5274.51,A9P5,0.0,0.58,1.94772,0.895,0.315,-0.39386,-0.0618149999999999,0.332045
632,7,12,ClusterValue,3,200,10,46,38,"Hit(CW,7,STRONG)",27445,1006.92,A9P5,0.0,-0.675,1.74911,-0.195,0.48,-1.549555,-1.03419,0.5153650000000001
3130,2,11,ClusterValue,3,200,10,46,32,"Hit(CW,0,TOUCH)",48818,1929.1,A9P5,0.0,0.93,1.5922,1.315,0.3849999999999999,0.1339,0.59636,0.46246
2941,4,13,ClusterValue,3,200,10,46,66,"Hit(CW,8,MIDDLE)",19637,1020.8,A9P5,0.0,0.0,1.63707,1.365,1.365,-0.818535,0.823755,1.64229
6374,0,11,ClusterValue,3,200,10,46,77,"Hit(CCW,10,MIDDLE)",51446,1994.69,A9P5,0.0,0.485,2.27591,1.54,1.0550000000000002,-0.6529550000000001,0.4435949999999999,1.09655
156,7,14,ClusterValue,3,200,10,46,55,"Hit(CCW,5,WEAK)",6091,280.678,A9P5,0.0,0.54,1.21178,1.105,0.565,-0.06589,0.7474000000000001,0.8132900000000001
1570,1,4,ClusterValue,3,200,10,46,29,"PreGuard(CCW,G4)",155251,5261.52,A9P5,0.0,-0.755,1.95575,-0.32,0.435,-1.732875,-1.28535,0.4475249999999999
7117,6,12,ClusterValue,3,200,10,46,39,"Hit(CCW,11,STRONG)",22954,813.452,A9P5,0.0,-0.45,1.20727,-0.14,0.31,-1.053635,-0.82198,0.231655
6164,7,6,ClusterValue,3,200,10,46,37,"Hit(CCW,5,MIDDLE)",121811,4076.83,A9P5,0.0,-0.455,1.80775,-0.25,0.205,-1.358875,-1.193065,0.16581
4376,5,5,ClusterValue,3,200,10,46,58,"Hit(CW,4,STRONG)",149266,4985.51,A9P5,0.0,0.29,1.89629,0.9,0.6100000000000001,-0.658145,-0.082345,0.5758
4444,0,12,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",28283,1099.65,A9P5,0.0,-0.575,1.62308,-0.345,0.2299999999999999,-1.38654,-1.145935,0.2406050000000001
5083,5,6,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",135303,4996.63,A9P5,0.0,-0.335,2.14308,-0.245,0.09,-1.40654,-1.2506050000000002,0.1559349999999997
894,4,13,ClusterValue,3,200,10,46,59,"Hit(CCW,8,WEAK)",15890,768.308,A9P5,0.0,1.83,1.43217,2.14,0.31,1.113915,1.5378350000000005,0.4239200000000003
8445,1,11,ClusterValue,3,200,10,46,86,"PostGuard(CW,5,1)",54597,2274.04,A9P5,0.0,2.19,1.95548,2.34,0.1499999999999999,1.21226,1.48642,0.2741599999999999
7871,7,15,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",151,11.0418,A9P5,0.0,2.485,1.88674,3.185,0.7000000000000002,1.5416299999999998,2.495655,0.9540250000000003
8198,0,4,ClusterValue,3,200,10,46,6,"Draw(CW,S4)",159672,5462.41,A9P5,0.0,-0.64,2.09533,-0.365,0.275,-1.687665,-1.308635,0.37903
6829,6,13,ClusterValue,3,200,10,46,44,"Hit(CW,12,WEAK)",6989,302.612,A9P5,0.0,0.295,1.2915,0.45,0.155,-0.35075,-0.203355,0.147395
4702,2,8,ClusterValue,3,200,10,46,37,"Hit(CCW,7,MIDDLE)",87665,2929.17,A9P5,0.0,-0.755,1.72481,-0.045,0.71,-1.617405,-1.00064,0.616765
4058,3,5,ClusterValue,3,200,10,46,23,"Draw(CCW,L6)",146628,5038.49,A9P5,0.0,0.75,1.93067,0.985,0.235,-0.215335,-0.0017599999999999,0.213575
7591,4,13,ClusterValue,3,200,10,46,50,"Freeze(CW,6)",14664,723.839,A9P5,0.0,2.19,1.39782,3.245,1.0550000000000002,1.4910899999999998,2.70533,1.2142400000000002
1445,7,8,ClusterValue,3,200,10,46,22,"Draw(CW,L6)",93875,3312.58,A9P5,0.0,-0.775,1.89852,-0.23,0.545,-1.72426,-1.08544,0.6388200000000002
5373,5,13,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",16176,801.773,A9P5,0.0,1.44,1.15169,1.945,0.5050000000000001,0.8641549999999999,1.352975,0.4888200000000001
5423,3,9,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",87023,3385.96,A9P5,0.0,0.735,1.91697,0.97,0.235,-0.223485,-0.140965,0.08252
1644,5,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",135,9.50167,A9P5,0.0,-1.0,0.0,-0.35,0.65,-1.0,-0.93256,0.06744
6839,5,3,ClusterValue,3,200,10,46,20,"Draw(CW,L5)",171839,5759.72,A9P5,0.0,0.835,2.14657,1.225,0.3900000000000001,-0.238285,0.0756100000000001,0.3138950000000002
1063,2,15,ClusterValue,3,200,10,46,34,"Hit(CW,12,WEAK)",55,2.98151,A9P5,0.0,1.905,0.293215,1.905,0.0,1.7583925,1.7583925,0.0
3774,5,6,ClusterValue,3,200,10,46,34,"Hit(CW,1,WEAK)",127669,4383.15,A9P5,0.0,-0.345,2.01395,-0.215,0.1299999999999999,-1.351975,-1.1727,0.1792749999999998
7844,2,5,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",147808,5154.38,A9P5,0.0,0.6,2.05913,1.02,0.42,-0.4295650000000001,0.0304649999999999,0.46003
5770,5,13,ClusterValue,3,200,10,46,47,"Hit(CCW,4,MIDDLE)",10495,475.619,A9P5,0.0,1.015,1.30184,1.12,0.1050000000000002,0.3640799999999998,0.592917,0.2288370000000001
7977,6,14,ClusterValue,3,200,10,42,46,"Hit(CW,3,MIDDLE)",5992,259.754,A9R05,0.5,-3.235,1.42119,-1.635,1.6,-3.945595,-2.371845,1.57375
3926,6,11,ClusterValue,3,200,10,42,39,"Hit(CCW,0,STRONG)",53965,2543.16,A9R05,0.5,-1.615,2.01166,0.425,2.04,-2.62083,-0.594115,2.026715
3883,1,14,ClusterValue,3,200,10,42,19,"Draw(CCW,L4)",1625,55.7957,A9R05,0.5,-0.335,0.890379,-0.075,0.26,-0.7801895000000001,-0.551806,0.2283835
9222,7,5,ClusterValue,3,200,10,42,13,"Draw(CCW,L1)",133232,5434.59,A9R05,0.5,1.24,1.96784,1.315,0.0749999999999999,0.25608,0.330065,0.073985
7881,2,15,ClusterValue,3,200,10,42,84,"Hit(CW,12,WEAK)",129,8.16711,A9R05,0.5,0.285,1.42961,1.72,1.435,-0.429805,0.6866099999999999,1.116415
6406,1,10,ClusterValue,3,200,10,42,10,"Draw(CW,L0)",57943,2376.83,A9R05,0.5,-1.015,1.7014,-0.385,0.6299999999999999,-1.8657,-1.23893,0.62677
8452,5,15,ClusterValue,3,200,10,42,34,"Hit(CW,0,WEAK)",153,10.5712,A9R05,0.5,1.32,0.6063,1.935,0.615,1.01685,1.811737,0.7948870000000001
1028,6,15,ClusterValue,3,200,10,42,0,"Draw(CW,TEE)",151,10.6101,A9R05,0.5,0.77,0.668655,1.0,0.2299999999999999,0.4356725,1.0,0.5643275
2596,1,14,ClusterValue,3,200,10,42,88,"Hit(CW,11,STRONG)",5812,258.947,A9R05,0.5,0.705,1.57733,1.97,1.265,-0.0836649999999999,1.7626545,1.8463195
4748,1,3,ClusterValue,3,200,10,42,25,"Draw(CCW,L7)",171480,7315.04,A9R05,0.5,0.66,1.8315,0.985,0.3249999999999999,-0.2557499999999999,0.0489499999999999,0.3046999999999998
9206,3,13,ClusterValue,3,200,10,42,11,"Draw(CCW,L0)",6425,263.921,A9R05,0.5,1.66,1.49479,1.73,0.07,0.912605,1.01113,0.0985250000000002
5859,1,6,ClusterValue,3,200,10,42,43,"Hit(CCW,5,TOUCH)",127717,5407.9,A9R05,0.5,-0.52,2.07355,-0.015,0.505,-1.556775,-1.006815,0.54996
6871,4,5,ClusterValue,3,200,10,42,48,"Hit(CW,2,STRONG)",147524,6453.02,A9R05,0.5,0.885,1.88991,1.32,0.435,-0.0599549999999999,0.2883,0.348255
7163,3,13,ClusterValue,3,200,10,42,66,"Hit(CW,12,MIDDLE)",10169,436.652,A9R05,0.5,1.57,1.61403,2.465,0.8949999999999998,0.762985,1.7441,0.981115
5807,0,8,ClusterValue,3,200,10,42,56,"Hit(CW,7,MIDDLE)",99386,4354.47,A9R05,0.5,-0.76,1.9653,0.03,0.79,-1.74265,-1.02227,0.72038
5567,2,15,ClusterValue,3,200,10,42,0,"Draw(CW,TEE)",129,8.57377,A9R05,0.5,1.535,0.999387,1.93,0.395,1.0353065,1.7758085,0.740502
2507,3,11,ClusterValue,3,200,10,42,39,"Hit(CCW,4,WEAK)",48629,2179.26,A9R05,0.5,1.66,2.22809,1.715,0.0550000000000001,0.545955,0.6236950000000001,0.0777400000000001
7006,3,15,ClusterValue,3,200,10,42,0,"Draw(CW,TEE)",145,10.1352,A9R05,0.5,-1.0,0.0,-0.97,0.03,-1.0,-1.0,0.0
1984,6,4,ClusterValue,3,200,10,42,47,"Hit(CCW,3,MIDDLE)",157856,6896.29,A9R05,0.5,-0.595,1.91859,-0.31,0.285,-1.554295,-1.28004,0.2742549999999999
1845,7,14,ClusterValue,3,200,10,42,45,"PostGuard(CCW,10,1)",2382,81.6742,A9R05,0.5,1.22,1.56576,1.44,0.2199999999999999,0.4371199999999999,0.6659849999999999,0.2288649999999999
5780,2,6,ClusterValue,3,200,10,42,34,"Hit(CW,5,WEAK)",121601,5149.82,A9R05,0.5,-0.375,1.8315,-0.375,0.0,-1.29075,-1.29075,0.0
8645,7,5,ClusterValue,3,200,10,42,34,"Hit(CW,0,WEAK)",147159,6610.18,A9R05,0.5,0.92,1.96306,0.92,0.0,-0.0615299999999999,-0.0615299999999999,0.0
6132,0,13,ClusterValue,3,200,10,42,76,"PostGuard(CW,9,1)",14231,793.423,A9R05,0.5,2.46,1.10833,2.62,0.1600000000000001,1.905835,2.035705,0.1298700000000001
3339,4,10,ClusterValue,3,200,10,42,50,"Freeze(CW,9)",62665,2993.21,A9R05,0.5,-0.305,1.77256,-0.305,0.0,-1.19128,-1.19128,0.0
