game_id,end,shot_num,method,seed,candidate_idx,cluster_id,is_representative,shot_type,label,e_score,e_sd,cluster_value,land_x,land_y,cluster_sd,cluster_value_risk,risk_lambda,rep_rank,rep_visits
2359,1,2,RandomK,42,8,1,1,"Draw","Draw(CW,S6)",,,,,,,,0,,
2359,1,2,RandomK,42,14,2,1,"Draw","Draw(CW,L2)",,,,,,,,0,,
2359,1,2,RandomK,42,19,3,1,"Draw","Draw(CCW,L4)",,,,,,,,0,,
9378,6,5,RandomK,42,5,0,1,"Draw","Draw(CCW,S2)",,,,,,,,0,,
9378,6,5,RandomK,42,10,1,1,"Draw","Draw(CW,L0)",,,,,,,,0,,
9378,6,5,RandomK,42,15,2,1,"Draw","Draw(CCW,L2)",,,,,,,,0,,
9378,6,5,RandomK,42,18,3,1,"Draw","Draw(CW,L4)",,,,,,,,0,,
1936,0,4,RandomK,42,13,0,1,"Draw","Draw(CCW,L1)",,,,,,,,0,,
1936,0,4,RandomK,42,35,1,1,"Hit","Hit(CCW,3,WEAK)",,,,,,,,0,,
1936,0,4,RandomK,42,36,2,1,"Hit","Hit(CW,3,MIDDLE)",,,,,,,,0,,
1936,0,4,RandomK,42,41,3,1,"Freeze","Freeze(CCW,3)",,,,,,,,0,,
2919,3,5,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
2919,3,5,RandomK,42,16,1,1,"Draw","Draw(CW,L3)",,,,,,,,0,,
2919,3,5,RandomK,42,21,2,1,"Draw","Draw(CCW,L5)",,,,,,,,0,,
2919,3,5,RandomK,42,49,3,1,"Hit","Hit(CCW,4,STRONG)",,,,,,,,0,,
8484,6,2,RandomK,42,22,0,1,"Draw","Draw(CW,L6)",,,,,,,,0,,
8484,6,2,RandomK,42,25,1,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
8484,6,2,RandomK,42,32,2,1,"Hit","Hit(CW,1,TOUCH)",,,,,,,,0,,
8484,6,2,RandomK,42,45,3,1,"PostGuard","PostGuard(CCW,0,1)",,,,,,,,0,,
8492,3,3,RandomK,42,2,0,1,"Draw","Draw(CW,S0)",,,,,,,,0,,
8492,3,3,RandomK,42,38,1,1,"Hit","Hit(CW,0,STRONG)",,,,,,,,0,,
8492,3,3,RandomK,42,48,2,1,"PostGuard","PostGuard(CW,3,0)",,,,,,,,0,,
8492,3,3,RandomK,42,51,3,1,"PostGuard","PostGuard(CCW,3,1)",,,,,,,,0,,
8250,2,4,RandomK,42,10,0,1,"Draw","Draw(CW,L0)",,,,,,,,0,,
8250,2,4,RandomK,42,20,1,1,"Draw","Draw(CW,L5)",,,,,,,,0,,
8250,2,4,RandomK,42,50,2,1,"Freeze","Freeze(CW,3)",,,,,,,,0,,
8250,2,4,RandomK,42,53,3,1,"PostGuard","PostGuard(CCW,2,0)",,,,,,,,0,,
69,5,5,RandomK,42,19,0,1,"Draw","Draw(CCW,L4)",,,,,,,,0,,
69,5,5,RandomK,42,27,1,1,"PreGuard","PreGuard(CCW,G3)",,,,,,,,0,,
69,5,5,RandomK,42,37,2,1,"Hit","Hit(CCW,2,MIDDLE)",,,,,,,,0,,
69,5,5,RandomK,42,48,3,1,"PostGuard","PostGuard(CW,5,0)",,,,,,,,0,,
8029,7,5,RandomK,42,0,0,1,"Draw","Draw(CW,TEE)",,,,,,,,0,,
8029,7,5,RandomK,42,30,1,1,"PreGuard","PreGuard(CW,G5)",,,,,,,,0,,
8029,7,5,RandomK,42,34,2,1,"Hit","Hit(CW,2,WEAK)",,,,,,,,0,,
8029,7,5,RandomK,42,45,3,1,"PostGuard","PostGuard(CCW,5,1)",,,,,,,,0,,
3941,1,3,RandomK,42,2,0,1,"Draw","Draw(CW,S0)",,,,,,,,0,,
3941,1,3,RandomK,42,4,1,1,"Draw","Draw(CW,S2)",,,,,,,,0,,
3941,1,3,RandomK,42,30,2,1,"PreGuard","PreGuard(CW,G5)",,,,,,,,0,,
3941,1,3,RandomK,42,31,3,1,"PreGuard","PreGuard(CCW,G5)",,,,,,,,0,,
9258,3,4,RandomK,42,20,0,1,"Draw","Draw(CW,L5)",,,,,,,,0,,
9258,3,4,RandomK,42,26,1,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
9258,3,4,RandomK,42,34,2,1,"Hit","Hit(CW,3,WEAK)",,,,,,,,0,,
9258,3,4,RandomK,42,46,3,1,"PostGuard","PostGuard(CW,2,2)",,,,,,,,0,,
3481,1,2,RandomK,42,20,0,1,"Draw","Draw(CW,L5)",,,,,,,,0,,
3481,1,2,RandomK,42,26,1,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
3481,1,2,RandomK,42,35,2,1,"Hit","Hit(CCW,1,WEAK)",,,,,,,,0,,
3481,1,2,RandomK,42,38,3,1,"Hit","Hit(CW,1,STRONG)",,,,,,,,0,,
8790,2,5,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
8790,2,5,RandomK,42,13,1,1,"Draw","Draw(CCW,L1)",,,,,,,,0,,
8790,2,5,RandomK,42,23,2,1,"Draw","Draw(CCW,L6)",,,,,,,,0,,
8790,2,5,RandomK,42,41,3,1,"Freeze","Freeze(CCW,2)",,,,,,,,0,,
8205,1,3,RandomK,42,21,0,1,"Draw","Draw(CCW,L5)",,,,,,,,0,,
8205,1,3,RandomK,42,34,1,1,"Hit","Hit(CW,0,WEAK)",,,,,,,,0,,
8205,1,3,RandomK,42,50,2,1,"PostGuard","PostGuard(CW,3,1)",,,,,,,,0,,
8205,1,3,RandomK,42,53,3,1,"PostGuard","PostGuard(CCW,3,2)",,,,,,,,0,,
2133,7,4,RandomK,42,1,0,1,"Draw","Draw(CCW,TEE)",,,,,,,,0,,
2133,7,4,RandomK,42,3,1,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
2133,7,4,RandomK,42,31,2,1,"PreGuard","PreGuard(CCW,G5)",,,,,,,,0,,
2133,7,4,RandomK,42,46,3,1,"Hit","Hit(CW,3,MIDDLE)",,,,,,,,0,,
9945,2,3,RandomK,42,33,0,1,"Hit","Hit(CCW,0,TOUCH)",,,,,,,,0,,
9945,2,3,RandomK,42,39,1,1,"Hit","Hit(CCW,0,STRONG)",,,,,,,,0,,
9945,2,3,RandomK,42,44,2,1,"PostGuard","PostGuard(CW,1,1)",,,,,,,,0,,
9945,2,3,RandomK,42,52,3,1,"PostGuard","PostGuard(CW,3,2)",,,,,,,,0,,
7226,1,5,RandomK,42,5,0,1,"Draw","Draw(CCW,S2)",,,,,,,,0,,
7226,1,5,RandomK,42,15,1,1,"Draw","Draw(CCW,L2)",,,,,,,,0,,
7226,1,5,RandomK,42,26,2,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
7226,1,5,RandomK,42,58,3,1,"Pass","Pass",,,,,,,,0,,
368,6,2,RandomK,42,1,0,1,"Draw","Draw(CCW,TEE)",,,,,,,,0,,
368,6,2,RandomK,42,26,1,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
368,6,2,RandomK,42,30,2,1,"PreGuard","PreGuard(CW,G5)",,,,,,,,0,,
368,6,2,RandomK,42,39,3,1,"Hit","Hit(CCW,1,STRONG)",,,,,,,,0,,
2628,1,5,RandomK,42,24,0,1,"Draw","Draw(CW,L7)",,,,,,,,0,,
2628,1,5,RandomK,42,37,1,1,"Hit","Hit(CCW,2,MIDDLE)",,,,,,,,0,,
2628,1,5,RandomK,42,43,2,1,"PostGuard","PostGuard(CCW,5,0)",,,,,,,,0,,
2628,1,5,RandomK,42,44,3,1,"PostGuard","PostGuard(CW,5,1)",,,,,,,,0,,
8575,6,3,RandomK,42,4,0,1,"Draw","Draw(CW,S2)",,,,,,,,0,,
8575,6,3,RandomK,42,8,1,1,"Draw","Draw(CW,S6)",,,,,,,,0,,
8575,6,3,RandomK,42,9,2,1,"Draw","Draw(CCW,S6)",,,,,,,,0,,
8575,6,3,RandomK,42,25,3,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
9731,3,5,RandomK,42,19,0,1,"Draw","Draw(CCW,L4)",,,,,,,,0,,
9731,3,5,RandomK,42,28,1,1,"PreGuard","PreGuard(CW,G4)",,,,,,,,0,,
9731,3,5,RandomK,42,35,2,1,"Hit","Hit(CCW,2,WEAK)",,,,,,,,0,,
9731,3,5,RandomK,42,58,3,1,"PostGuard","PostGuard(CW,5,2)",,,,,,,,0,,
2742,6,2,RandomK,42,0,0,1,"Draw","Draw(CW,TEE)",,,,,,,,0,,
2742,6,2,RandomK,42,5,1,1,"Draw","Draw(CCW,S2)",,,,,,,,0,,
2742,6,2,RandomK,42,20,2,1,"Draw","Draw(CW,L5)",,,,,,,,0,,
2742,6,2,RandomK,42,34,3,1,"Hit","Hit(CW,1,WEAK)",,,,,,,,0,,
4917,5,4,RandomK,42,9,0,1,"Draw","Draw(CCW,S6)",,,,,,,,0,,
4917,5,4,RandomK,42,25,1,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
4917,5,4,RandomK,42,35,2,1,"PostGuard","PostGuard(CCW,0,1)",,,,,,,,0,,
4917,5,4,RandomK,42,43,3,1,"PostGuard","PostGuard(CCW,2,2)",,,,,,,,0,,
9700,3,3,RandomK,42,7,0,1,"Draw","Draw(CCW,S4)",,,,,,,,0,,
9700,3,3,RandomK,42,28,1,1,"PreGuard","PreGuard(CW,G4)",,,,,,,,0,,
9700,3,3,RandomK,42,33,2,1,"Hit","Hit(CCW,0,TOUCH)",,,,,,,,0,,
9700,3,3,RandomK,42,36,3,1,"Hit","Hit(CW,0,MIDDLE)",,,,,,,,0,,
3228,6,2,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
3228,6,2,RandomK,42,13,1,1,"Draw","Draw(CCW,L1)",,,,,,,,0,,
3228,6,2,RandomK,42,21,2,1,"Draw","Draw(CCW,L5)",,,,,,,,0,,
3228,6,2,RandomK,42,35,3,1,"Hit","Hit(CCW,1,WEAK)",,,,,,,,0,,
6781,0,5,RandomK,42,5,0,1,"Draw","Draw(CCW,S2)",,,,,,,,0,,
6781,0,5,RandomK,42,12,1,1,"Draw","Draw(CW,L1)",,,,,,,,0,,
6781,0,5,RandomK,42,29,2,1,"PreGuard","PreGuard(CCW,G4)",,,,,,,,0,,
6781,0,5,RandomK,42,38,3,1,"Hit","Hit(CW,2,STRONG)",,,,,,,,0,,
7332,3,3,RandomK,42,7,0,1,"Draw","Draw(CCW,S4)",,,,,,,,0,,
7332,3,3,RandomK,42,13,1,1,"Draw","Draw(CCW,L1)",,,,,,,,0,,
7332,3,3,RandomK,42,45,2,1,"PostGuard","PostGuard(CCW,1,1)",,,,,,,,0,,
7332,3,3,RandomK,42,47,3,1,"PostGuard","PostGuard(CCW,1,2)",,,,,,,,0,,
244,4,4,RandomK,42,26,0,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
244,4,4,RandomK,42,29,1,1,"PreGuard","PreGuard(CCW,G4)",,,,,,,,0,,
244,4,4,RandomK,42,42,2,1,"Hit","Hit(CW,3,TOUCH)",,,,,,,,0,,
244,4,4,RandomK,42,46,3,1,"Hit","Hit(CW,3,MIDDLE)",,,,,,,,0,,
8134,3,2,RandomK,42,25,0,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
8134,3,2,RandomK,42,29,1,1,"PreGuard","PreGuard(CCW,G4)",,,,,,,,0,,
8134,3,2,RandomK,42,35,2,1,"Hit","Hit(CCW,1,WEAK)",,,,,,,,0,,
8134,3,2,RandomK,42,48,3,1,"Pass","Pass",,,,,,,,0,,
