target,feature,n,rho,p
d_A9P5_A1,q_gap12,150,-0.053964633727306546,0.5119024523397238
d_A9P5_A1,mean_cluster_size,150,-0.05305064977637409,0.5190865982362398
d_A9P5_A1,size_entropy_norm,150,-0.051028429747207005,0.5351628940723117
d_A9P5_A1,q_iqr,150,0.050441933394312806,0.5398714766423263
d_A9P5_A1,q_star_minus_median,150,0.04211324877149933,0.6088664326462397
d_A9P5_A1,mean_nn_dist,150,-0.03919529627210775,0.633925011804376
d_A9P5_A1,q_min,150,-0.036230297794952064,0.6598203001102855
d_A9P5_A1,rho_cand,149,0.03389753137563688,0.6815086075771398
d_A9P5_A1,md_rep_q_max,150,0.033420340130777965,0.68474020817811
d_A9P5_A1,qadj_star_l0.5,150,0.03217697808239233,0.6958782286663967
d_A9P5_A1,rep_q_max,150,-0.030150191646883838,0.7141731923109388
d_A9P5_A1,best_p_ge2,150,0.0284516827610524,0.7296317115395722
d_A9P5_A1,rho_gain_sd,149,-0.025614474123143494,0.7564984589590267
d_A9P5_A1,rho_cluster,149,-0.01924800983048071,0.8157654709934136
d_A9P5_A1,q_2nd,150,0.01469945282697068,0.8583033099380741
d_A9P5_A1,n_near_best_050,150,-0.013816077539998762,0.8667373390984786
d_A9P5_A1,q_star,150,0.010495334178366506,0.8985689943544806
d_A9P5_A1,q_median,150,0.009409491177903101,0.9090152555626503
d_A9P5_A1,n_types_near_best_050,150,0.008688479291803587,0.915960415740463
d_A9P5_A1,rho_cand_risk_l0.5,149,-0.004901483370390674,0.952691891912363
d_A9P5_A1,q_mean,150,-0.003974447975185523,0.9615011968277662
d_A9P5_A1,md_screen_loss,150,0.0038313215122247604,0.9628865939352365
d_A9P5_A2,md_screen_loss,150,-0.3996564883003507,4.050110386351313e-07
d_A9P5_A2,best_cluster_size,150,-0.30019794314703546,0.00018969173055370048
d_A9P5_A2,true_top_cluster_selected,150,-0.24694959651612225,0.0023149980249169964
d_A9P5_A2,rho_gain_sd,149,0.23922797226378578,0.003299693894163821
d_A9P5_A2,q_range,150,-0.22831244255497107,0.004953125748461081
d_A9P5_A2,rho_cand,149,-0.2248344364868595,0.0058383026833702615
d_A9P5_A2,rho_cand_risk_l0.5,149,-0.22450425648943662,0.005912910364954531
d_A9P5_A2,q_star,150,-0.21319641136958473,0.008807020716369993
d_A9P5_A2,best_cluster_selected,150,-0.2111755342194136,0.009485331872620816
d_A9P5_A2,type_purity,150,0.20834737623183916,0.010511919140949764
d_A9P5_A2,n_singleton,150,-0.2074484133372837,0.010858115883879726
d_A9P5_A2,singleton_frac,150,-0.2065330789875726,0.011220884708746022
d_A9P5_A2,best_p_ge2,150,-0.1986085840393939,0.014833354863048476
d_A9P5_A2,q_2nd,150,-0.19588766648626268,0.01628892135027831
d_A9P5_A2,qadj_star_l0.5,150,-0.19463166241119473,0.01700171730582819
d_A9P5_A2,size_entropy_norm,150,0.1902449380014803,0.01970795654116913
d_A9P5_A2,within_sd_q,150,-0.17878697712464556,0.02859426387730873
d_A9P5_A2,q_star_minus_median,150,-0.17546797167831252,0.03173367096224226
d_A9P5_A2,rep_q_max,150,-0.1639729381584784,0.044958503823165887
d_A9P5_A2,rho_cluster_risk_l0.5,149,-0.14860348984877225,0.07049508848220833
d_A9P5_A2,largest_frac,150,-0.1471828249337488,0.07228230822668925
d_A9P5_A2,rho_cluster,149,-0.14538265459214766,0.0768792928766005
d_A9P5_A2,y_spread,150,-0.1403579928826723,0.08668716411358063
d_A9P5_A2,frac_near_best_050,150,0.13666799982971775,0.0953819770544551
d_A9P5_A2,topk_overlap_l0.5,150,-0.1360712609492117,0.09685087831713261
d_A9P5_A2,best_p_negative,150,0.1302902401315761,0.11202523696395585
d_A9P5_A2,n_types_near_best_050,150,0.12993750959178388,0.1130080195750918
d_A9P5_A2,cluster_sd_mean,150,0.1264399113657631,0.12312061914165878
d_A9P5_A2,n_near_best_050,150,0.1251486632519502,0.12702595688559365
d_A9P5_A2,remaining,150,0.12195968777647409,0.13707942739096043
d_A9P5_A2,no1_no2_gap,149,-0.11874373193749202,0.14920276616766479
d_A9P5_A2,best_type_margin,150,-0.11714949652800205,0.1533780096637045
d_A9P5_A2,frac_hit,150,-0.11694239225721412,0.15411116135922545
d_A9P5_A2,q_sd_median,150,0.11396485980059075,0.1649449777486834
d_A9P5_A2,x_spread,150,-0.11179987493689977,0.17317171219376387
d_A9P5_A2,best_cluster_rank,150,0.10921236737219478,0.1833975550760221
d_A9P5_A2,q_sd_mean,150,0.10646878915847974,0.19471658674427053
d_A9P5_A2,n_op,150,-0.10205146621105318,0.21399261458637384
d_A9P5_A2,q_min,150,0.09957152743102943,0.22539344245653598
d_A9P5_A2,n_op_house,150,-0.09267838318385493,0.2593165622634179
d_A9P5_A2,n_front_house,150,-0.08963041955694222,0.2753794403220238
d_A9P5_A2,best_hist_entropy,150,0.07875204648749402,0.3380971445276721
d_A9P5_A2,n_stones,150,-0.0776673867487857,0.34481316928284683
d_A9P5_A2,n_cand,150,-0.07753346733553323,0.3456481775170196
d_A9P5_A2,n_cand_ct,150,-0.07753346733553323,0.3456481775170196
d_A9P5_A2,best_is_rep,150,-0.07505504172867705,0.3613312564411532
d_A9P5_A2,K_clusters,150,-0.07038817670890254,0.392038602968888
d_A9P5_A2,n_house,150,-0.06894316531321758,0.4018553044142783
d_A9P5_A2,house_density,150,-0.06894316531321758,0.4018553044142783
d_A9P5_A2,q_median,150,0.06312078750259638,0.44286324351102396
d_A9P5_A2,frac_draw,150,0.058337363789878006,0.4782555240185696
d_A9P5_A2,house_diff,150,0.05808073304334489,0.48019660105217665
d_A9P5_A2,lookahead_gain_mean,150,0.057844549688174145,0.48198676986239125
d_A9P5_A2,q_sd_best,150,0.05645671921628125,0.49257813062521516
d_A9P5_A2,counting_my,150,-0.05396655707785992,0.5118873886478199
d_A9P5_A2,n_near_best_025,150,0.05262496668450748,0.522450077449638
d_A9P5_A2,house_mean_nn_dist,149,-0.04896886277654464,0.5531389654129419
d_A9P5_A2,md_rep_q_max,150,0.04726088403589632,0.5657619866528367
d_A9P5_A2,mean_nn_dist,150,-0.04595260796728853,0.5765786352567756
d_A9P5_A2,q_iqr,150,-0.043454834620853436,0.5974936518237893
d_A9P5_A2,q_mean,150,0.04278738692473092,0.6031397494032762
d_A9P5_A2,mean_cluster_size,150,-0.04102288860231617,0.6181791611660171
d_A9P5_A2,q_gap12,150,-0.0389248877200694,0.6362689757177894
d_A9P5_A2,n_my,150,-0.03866738809861759,0.6385043982164602
d_A9P5_A2,n_within_0.61,150,0.033770577104544314,0.6816148735375858
d_A9P5_A2,n_my_house,150,-0.033633641881857274,0.6828361729034901
d_A9P5_A2,n_types,150,-0.025281427626991274,0.7587734532784495
d_A9P5_A2,lookahead_gain_best,150,0.022302781123848182,0.7864673104074288
d_A9P5_A2,counting_op,150,-0.02212939303905067,0.7880880200937481
d_A9P5_A2,n_within_1.22,150,-0.01929711201369522,0.8146860102171626
d_A9P5_A2,score_now,150,-0.01631051009734052,0.8429635310742183
d_A9P5_A2,frac_guard,150,0.01455451247762975,0.8596860575717811
d_A9P5_A2,min_pair_dist,150,-0.010649724058358137,0.8970850687669016
d_A9P5_A2,n_back_house,150,-0.008274549541470366,0.9199505067831326
d_A9P5_A2,between_range_q,150,0.003661352531821202,0.9645319577775933
d_A9R05_A9P5,qadj_star_l0.5,150,-0.18617956760793047,0.0225406355623075
