group,level,target,n,mean,se,median,kruskal_p
degenerate,0,screen_loss,168,0.23574999999999996,0.012898983913449527,0.21199999999999997,0.10310236486576682
degenerate,1,screen_loss,32,0.45890624999999996,0.13202912648607276,0.08499999999999995,0.10310236486576682
degenerate,0,rho_gain,168,0.09204115939063466,0.00945119549702569,0.09385790280825826,0.7819959675790703
degenerate,1,rho_gain,30,0.0023475224705880515,0.10195146543339909,0.1182882714165464,0.7819959675790703
degenerate,0,eta2_q,168,0.5691342838486841,0.015031421177127802,0.5728900656236051,2.3627974815077645e-17
degenerate,1,eta2_q,32,0.10272228739267851,0.02173668365492015,0.0655921083383981,2.3627974815077645e-17
crowded_house,0,d_A9P5_A1,72,0.01205555555555555,0.026081489374357027,0.0,0.7342913810652977
crowded_house,1,d_A9P5_A1,128,0.005734375,0.02827252752312988,0.0,0.7342913810652977
crowded_house,0,d_A9P5_A2,72,-0.07805555555555554,0.05432053223754338,-0.041499999999999954,0.7291768040593196
crowded_house,1,d_A9P5_A2,128,-0.10967968750000001,0.04680075213385471,-0.022000000000000047,0.7291768040593196
crowded_house,0,d_A2_A1,72,0.0901111111111111,0.05202015813818011,0.01349999999999995,0.9654645784324599
crowded_house,1,d_A2_A1,128,0.11541406250000003,0.054877378214370255,0.0,0.9654645784324599
crowded_house,0,d_A9R05_A9P5,72,0.018499999999999996,0.01533053914120235,0.00600000000000005,0.9623250871153812
crowded_house,1,d_A9R05_A9P5,128,0.027609375000000005,0.01286618761548139,0.0,0.9623250871153812
crowded_house,0,dadj_A9R05_A9P5,72,0.017252222222222217,0.01542547999286437,0.00156849999999985,0.7438034651188123
crowded_house,1,dadj_A9R05_A9P5,128,0.023554535937499996,0.014831416898294423,0.0,0.7438034651188123
crowded_house,0,screen_loss,72,0.1737222222222222,0.01265378363597362,0.1739999999999999,0.0050829582780574836
crowded_house,1,screen_loss,128,0.3264296875,0.03628765300049955,0.22699999999999995,0.0050829582780574836
crowded_house,0,rho_gain,72,0.13619110888698163,0.015835441792514744,0.1287522664748289,0.0020458213079579627
crowded_house,1,rho_gain,126,0.045456988983187195,0.025316605694818615,0.08118505582306705,0.0020458213079579627
crowded_house,0,eta2_q,72,0.4916681192653358,0.02637790702088365,0.4872387043714641,0.6107246413299383
crowded_house,1,eta2_q,128,0.496106002312816,0.023656637245042737,0.5537350637216609,0.6107246413299383
center_lane_blocked,0,d_A9P5_A1,21,-0.030285714285714298,0.04431162068680355,0.0,0.5799591552359447
center_lane_blocked,1,d_A9P5_A1,179,0.012502793296089387,0.022137207416195563,0.0,0.5799591552359447
center_lane_blocked,0,d_A9P5_A2,21,-0.0406190476190476,0.0451428671890686,-0.0539999999999998,0.8529512940501796
center_lane_blocked,1,d_A9P5_A2,179,-0.10506145251396648,0.0395354236674261,-0.025,0.8529512940501796
center_lane_blocked,0,d_A2_A1,21,0.010333333333333316,0.039504088596916336,0.0,0.5698457309005645
center_lane_blocked,1,d_A2_A1,179,0.1175642458100559,0.04409336509037608,0.0020000000000002,0.5698457309005645
center_lane_blocked,0,d_A9R05_A9P5,21,0.006714285714285731,0.023597229746321488,0.0,0.615848784727856
center_lane_blocked,1,d_A9R05_A9P5,179,0.026396648044692734,0.01071061655899916,0.0,0.615848784727856
center_lane_blocked,0,dadj_A9R05_A9P5,21,0.014286047619047615,0.024567123017258736,0.0,0.9633292626655299
